text,domain,intent,split
what do i owe to jcp,1,9,test
what date did i have my oil changed last,5,72,train
what is the smallest amount i can pay on my tmobile bill,1,8,train
what percentage gas do i need,5,73,train
the nutritional info for macaroni and cheese is what,3,36,train
i want to apply for a alphabank card,2,29,train
"what name do you go by, ai",9,127,test
erase any event on my calendar that's set for wednesday of next week,4,51,train
i didn't make these purchases on my card; these are fraudulent charges i need to report them,1,15,train
send ten dollars from bank of america to capital one,1,10,train
which insurance plan to i have,8,109,test
would you like to tell me a joke,9,132,train
tell me about today weather,2,16,train
how long to wait before dining in restaurant beta,3,33,val
i jot got hired and need help with my retirement account,8,114,train
are you an ai or can you prove you're human,9,133,train
how many cars average are on the road daily,0,0,oos_test
"for the shopping list, add ham as well",4,59,train
what is the fridge life of spahghetti,3,31,train
i no longer need the reservation for 20 at ihop,3,42,train
please tell me how to submit a vacation request,8,116,train
do i need to get a plug converter for athens,6,76,train
how was this ai created,9,121,train
can you verify my recent visa card transaction,1,14,test
can i plug in my electronics there like normal,6,76,test
what's the forecast for the day,7,91,val
i need you to roll an 8 sided dice,7,104,train
what is the reason humans even exist,9,122,test
in the place i am what are my gps coordinates,5,61,train
can you please start the avatar movie for me,0,0,oos_test
whats the title of this,4,46,train
"i have had pasta in the fridge since monday, can is till consume it",3,31,train
call christie,7,97,train
would i have to wait long if i want to eat at chili's,3,33,train
can you go by a different name,10,148,train
add this song to travel,4,53,val
on the tv,4,60,train
are the donuts at tgi well reviewed,3,38,train
please let me review all items on my mastercard from this billing period,1,14,val
do you know the expiration date that is on my visa card,2,17,val
who is the best local real estate agent,0,0,oos_test
is it ok to use bananas instead of oranges in the recipe,3,43,test
"do i still have any pto days left, and if so, how many",8,115,train
how much do i make per day,8,113,train
let's terminate connection to my phone please,10,146,train
i need the pin number for my checking account,1,3,test
please tell me all the transactions i've made recently,1,14,train
walk me through applying for a visa card,2,29,train
how many students attend ucsb,0,0,oos_train
tell me how to increase credit limit for chase card,2,22,test
start counting down from two minutes,7,96,train
tell me if the new york restaurant takes reservations,3,45,test
is there enough money in my discover account for airplane tickets,1,12,train
report fraud on my card,1,15,train
what's a good joke,9,132,train
"cancel my reservation for dinner this saturday, please",3,42,test
schedule an appointment to get my oil changed,5,67,train
when is too late to pay my cable bill,1,4,train
what is the proper fuel type for my car,5,73,val
how much time do i have before i have to change my tires,5,74,train
add this tune to my jazz playlist,4,53,train
can you tell me what 30% off 279 is,7,98,train
put me back on my factory settings,10,149,train
book me a hotel in jacksonville near the stadium from january 1st to 3rd,6,88,test
whats the definition of transmute,7,99,train
how do i check my rewards for my target card,2,26,val
make a pto request from dates may 3 to 9,8,116,train
how much money do i make from work,8,113,test
did i remember to put oatmeal on my list,4,54,test
are there certain types of questions i can ask you,9,135,train
what is your given name,9,127,val
are there meeting rooms available between 11-12,8,118,train
how do germans say goodnight,6,78,train
please set a reminder for me,7,92,train
do i need to get vaccinated to go to thailand,6,85,train
i want to know my credit card apr,2,23,train
tell me my name,10,137,val
i need to order more checkbooks for my capital one account,1,11,train
how many of my vacation days do i have remaining,8,115,train
i want a timer set for 10 minutes,7,96,test
set temperature to 75,4,60,train
tell me the the carry-on restrictions for american airlines,6,89,test
please tell me what i pay in taxes,8,112,train
i wonder what my to-do list looks like for today,4,58,train
what timezone is canada in,6,81,train
"help me, i don't know where my phone is",7,94,val
please begin using the whisper voice setting,10,138,train
how long would it take to get to chicago by bus,5,70,val
what do i need to use to make lasagna,3,34,test
"yum, pulled pork tacos at the buffet",3,38,test
i need to know my location,5,61,train
i need to know the bill's minimum payment,1,8,train
the chip on my card is damaged and i need a new one,2,18,train
what battery percentage is my phone at,0,0,oos_test
"if i go to columbia, will i need a visa",6,80,test
verify with me my credit score,2,28,train
do you know which insurance plan i have,8,109,test
how many points do i have on my mlife card,2,26,train
how do i change my billing address,0,0,oos_train
please suggest a chinese meal,3,40,val
do i need a converter in barcelona,6,76,train
what is the credit card apr if you could tell me,2,23,train
text christopher and tell him i will stop by,7,105,train
who can tell me if there's any meaning to life,9,122,train
i'd like for their to be a pto request for me made for the dates june 4th to june 8th,8,116,train
my check engine light is on and someone needs to look at it,5,67,train
i need alarm for both 4am and 7am,7,92,val
what have i spent lately in child care,1,13,train
tell me later to call bill,4,50,test
change your language setting to spanish,10,142,val
is almond milk an acceptable substitute for milk,3,43,train
what is the fee for a cash advance,0,0,oos_test
i wanna know something funny,9,132,train
tell me my car's fuel economy,5,69,train
i want you to tell me about my income,8,113,train
could you speak faster,10,136,val
do you have any funny jokes you can tell,9,132,val
can you tell me how much i owe on my cable bill,1,9,train
is the company party on my list of reminders,4,49,train
what subjects do you know well,9,135,train
i have to get my 401k rollover because i just got a new job,8,114,train
define discretionary,7,99,train
what reminders do i have,4,49,train
i'm happy with your answer,9,130,train
please set the temperature to 80,4,60,train
which kinds of pets do you have,9,124,test
my 401k needs to rollover and i need your help,8,114,test
what kinds of pets do you own,9,124,test
i would like to report fraudulent activity on my chase card,1,15,test
im not sure,10,150,train
what's the best type of plan to upgrade to,0,0,oos_test
do you have any information on how to open a new credit card,2,29,test
"how many sick, personal, and vacation days have i billed so far this year",8,120,train
report my credit limit,2,25,train
what is the month and day tomorrow,7,93,train
to my domestic task list please add paint kitchen,4,48,train
what stores are in the local mall,0,0,oos_test
what is the total amount of my paychecks over the last year,8,113,train
what hobbies pique your interest,9,125,train
"not sure, maybe",10,150,train
is it acceptable to swap milk for water,3,43,train
why was my card got declined when i am trying to pay for dinner when i am in vietnam,2,21,test
can you tell me the due date for the water bill,1,4,val
i would like to try and confirm that i have a reservation at kelly's for moreno,3,32,train
what is the total of all my bills combined,1,9,val
has my credit card application been approved yet,2,27,val
do you have any good ways to make tomato soup,3,37,val
when you roll a six sided dice what is the results,7,104,train
what are your pets,9,124,train
start sending my location to alex,7,95,train
what steps should i follow if i lost my luggage,6,86,val
please list nearby restaurants with 4 or more star reviews,3,41,train
i want a text sent to bob saying i will be late,7,105,val
tell me the timezone that spain is in,6,81,train
how to activate direct deposit to chase account,8,119,test
tell me the exchange rate of dollars to yen,6,82,train
how much longer until i need an oil change,5,62,train
what kind of questions can i ask you,9,135,train
whats it like to be programmed,9,121,train
i need your accent to be changed,10,144,val
what's the amount due on my vet and vehicle registration bills,1,9,val
where can i get a w2 form,8,117,train
can i complete an application for a new credit card,2,29,train
do you know anything about the status of my order,4,52,train
"sorry, you can actually stop that",10,145,train
is butter ok to use instead of oil,3,43,val
oven should be set to 350 now,4,60,train
how do i jump start my car battery,5,75,train
what is the maximum dollars i can get for 6 yens,6,82,train
who can i turn to if i lost my luggage,6,86,train
please open a call to my mother,10,148,train
i'd like to know how to make changes for my insurance policy,8,108,val
i need to know what restaurants are near me,3,41,train
i need you to tell my what my routing number is for my first county account,1,2,train
can i make a reservation for redrobin,3,45,train
schedule a meeting for me,8,118,train
whats the status of my south west flight,6,79,train
add psycho by post malone to my playlist,4,53,train
let me know when i'm going to be paid,8,111,train
how much does my water and electricity cost,1,9,test
"can you give me a burmese meal suggestion, please",3,40,train
what kind of plugs will i need when i'm in ecuador,6,76,train
what is the temperature in costa mesa,7,91,train
when's the the last time i was paid,8,111,train
"please find someone who specializes in cars, my check engine light has turned on",5,67,train
how long is it gonna take to get to red robin in avondale,5,70,train
set your name to hillary,10,148,train
what place were you born,9,128,val
delete my golf tournament event from tomrrow,4,51,train
can you tell me my current location,5,61,test
let the folks know my gps coordinates,7,95,train
what time is it in the mountain timezone,7,103,test
i need kilograms to milligrams,7,100,val
i spent what dollar amount last month on mastercard,1,14,train
has the market been up or down since the beginning of this year,0,0,oos_test
what is my b of a credit card's apr,2,23,test
please put cleaning on my list of things to do,4,48,train
explain what my credit limit is,2,25,val
go passed the song now,4,56,train
go ahead and cancel the reservation i made for 6:00 pm at parc,3,42,train
do you know the smallest amount i can pay on my water bill,1,8,test
what does my commute look like,5,65,val
will i have to wait long for a table at pietro's this evening,3,33,val
how do i make chicken alfredo,3,37,val
i lost my chase bank card and want it labeled as lost,2,20,train
i want to know how much vacation time i can use,8,115,train
what is the carry-on policy for flights on lufthansa,6,89,test
what do i do when my car battery is dead,5,75,train
what kind of oil do i need to get and use for my car,5,63,train
set the alarm to go off at 9 tomorrow,7,92,train
how can i change your response language,10,142,val
which pets do you have,9,124,test
find out what song is currently on the speakers,4,46,test
i would like to know what my income is,8,113,val
look up the exchange rate between dollars and euros,6,82,val
set a 1 minute timer,7,96,test
is cheesecake factory busy right now,3,33,test
when will nightwish be touring through my city,0,0,oos_test
at what time will my flight begin boarding,6,79,train
can you tell me what day my next paycheck will come,8,111,train
tell me my miles per gallon on my car,5,69,train
what is playing,4,46,train
what is the full name of your boss,9,123,train
change your name to something funny,10,148,train
please cross off schedule acupuncture appointment off of the to do list,4,48,train
"i would like to report a fraud on my wells fargo card, please",1,15,val
where would you say you were born,9,128,train
set a timer for 5 minutes from now,7,96,test
message mom where are you,7,105,train
tell me something funny about americans,9,132,train
can you look and see how many days off i have taken so far since january,8,120,test
use my savings account to the pay the rent,1,5,train
tell me how to make beef wellington,3,37,train
my luggage was on delta flight abc123 out of houston and now i can’t find it,6,86,train
what's the persons name at my door,4,60,train
do you know my state tax total,8,112,test
i need to know where to locate when my gas bill is due,1,4,train
i need a car rental for the first and fifth in denver and i'd like a subaru,6,90,train
is my reservation confirmed for lu shi at 7 pm,3,32,train
what is the meaning of incandescent,7,99,test
who is you employer,9,123,train
i need to know what day i need to pay my water bill,1,4,val
will you roll a 4 sided dice,7,104,train
i dont know,10,150,train
would you connect to my phone,10,146,train
do i have to contact someone to use my credit card points,2,24,train
"has my credit card application been received, or what is its current status",2,27,train
what's the current status of the credit card i applied for,2,27,train
how much paid time off have i used,8,120,train
can you see where my package is,4,52,train
what's the total pto i've used,8,120,train
do i need a visa to spain,6,80,train
tell me when my flight is landing,6,79,train
"i will be in aiken on may 12 to may 16, i need to rent a car",6,90,train
how do i turn up the resolution that i am taking pictures in on my camera phone,0,0,oos_test
thank you so much,9,130,train
how long to seattle on a bus,5,70,val
i wish i knew how to spell mississippi,7,102,train
show me what the weather is like,7,91,test
today's date is what,7,93,train
when should my tires be changed next,5,74,train
where's my w-2 tax form,8,117,val
does pizza hut have good reviews,3,38,train
how is the traffic at 9:00 on the way to detroit,5,65,test
can you please book an uber to the zoo,5,64,train
is the dollar strong against the yen today,6,82,train
at what point will i need to change my tires,5,74,val
what's the chance of rain on friday,7,91,train
does my mastercard charge international transaction fees,2,30,train
can you put in a pto request for march 7th to the 9th,8,116,train
i would like help moving money between accounts,1,10,test
check if getting a light bulb is on my list of reminders,4,49,train
that checks out,10,139,test
assist me by setting my alarm for 9:00 and another for 11:00,7,92,train
do i have any meetings today between 9 and 10,8,110,val
what is the insurance plan that i'm signed up for,8,109,train
how many times do i get paid in march,8,111,val
"where is the closest dog groomer in charlotte, north carolina",5,71,train
let me know how much money i will need to spend on paying bills,1,9,train
what do i need to jump start a battery,5,75,val
can we talk in french,10,142,train
"lets do a coin toss, i call tails",7,101,train
display my location on the map,5,61,test
what is the minimum payment i can make on my xcel energy bill,1,8,train
tell me why my card got declined,2,21,train
i need to rent a car for may 3rd to may 5th in indianapolis and i'd like a mercedes,6,90,test
what's the spanish word for dog,6,78,test
how is traffic nearest the ben franklin bridge philadelphia heading to the new jersey turnpike,5,65,test
do you mind if i ask your name,9,127,val
do i need an international visa to get into italy,6,80,val
if i use my card in denver will i get charged extra,2,30,train
how do i remove a coffee blemish,0,0,oos_train
start the dishwasher,4,60,test
how do i schedule getting my tires checked,5,67,train
inform my bank that i will be in rome from february 1 to march 1,6,77,train
does bank of america charge transaction fees if you use it in canada,2,30,train
what health plan do i have,8,109,train
does my calendar have anything for january 1st,4,55,train
please put my account on hold,1,1,test
is there a minimum payment i can make,1,8,test
send my location to sis,7,95,test
how do you cook meatloaf,3,37,train
i need to set up a direct deposit for my paycheck,8,119,train
that statement was correct,10,139,train
what do you think i am called,10,137,train
my insurance plan needs to be changed,8,108,train
report that the card has been wrecked,2,18,train
when will my next paycheck be,8,111,train
"while in tulsa, if i use my card, would i be charged more",2,30,val
notify my bank that i will be in rome from february 1 to march 1,6,77,train
tell me something funny,9,132,train
can you speak with me using faster speech,10,136,train
is the processing done on my new credit card,2,27,train
does mexico require me to have a visa to travel there,6,80,train
how long will it take before the postal service delivers my new card,2,16,train
"reserve a meeting room for friday, 5pm",8,118,test
i wanna have an appointment to get my oil changed,5,67,train
"order more cat food, i'm out",4,57,train
what is the procedure for signing up for a new allstate plan,8,108,test
can i refer to you as liz,10,148,train
please book me a place in pittsburgh to stay from monday to friday,6,88,train
tell me what edict means,7,99,train
where do i find the routing number for great western bank,1,2,train
i need to know how you are doing today,9,131,test
i am looking for good southeast asian restaurants in philadelphia,3,41,val
"spell ""requisite"" for me",7,102,train
show me my transactions on tacobell,1,14,train
how much food should i feed my cat,0,0,oos_val
my account appears to be blocked and i don't know why,1,6,val
who is available to check why my check engine light is on,5,67,train
is there evening reservations available in the eve,3,45,train
can you please check on the status of my online order,4,52,train
what do i need to go shopping for,4,54,train
do you mind putting a stop on my bank account,1,1,train
i'd like to find a hotel in tampa that people liked enough to leave good reviews about,6,88,train
how much money did i spend at starbucks in the last week,1,13,train
i'm driving from la to denver and need my bank notified,6,77,train
can you check how much pto i have already used,8,120,train
what is the traffic like on the way to makaha,5,65,train
"i need to rent a car kfor one week in ocean city, nj so who has the best deal",6,90,test
what can you call me,10,137,train
when should i have my tires replaced if i replaced them on the first of march,5,74,train
what do i do to redeem credit card points,2,24,train
"ai, my name is deb please use my name when you talk to me",10,147,test
i need to replace a card that my daughter spilled juice on,2,18,test
please give me the amount of pressure in my car tires,5,66,val
please use a male voice,10,144,val
what mpg does this car get on the expressway,5,69,train
tell me what amount i have to pay for my directv bill please,1,9,train
make sure the oven is set to 350 please,4,60,train
how can i order more checks for my regions bank account,1,11,train
i'd like to go to malaysia so do i need a visa,6,80,test
disconnect from my phone,10,146,train
how much is the car bill this month,1,9,test
how to report bent credit card,2,18,train
what size wipers does this car take,0,0,oos_train
what all is on my shopping list,4,54,train
will amazon ship an order even if there was a pricing mistake,0,0,oos_test
who's your creator,9,121,val
how can up my credit limit,2,22,val
does australia have different plug sizes,6,76,train
what do i have to do on march 2 that's on my calendar,4,55,train
can you tell me about what time i should be arriving at the airport,5,70,test
i want to know the meaning of life,9,122,test
i need to know the conversion between teaspoons and tablespoons,7,100,test
phone christie,7,97,train
could you book me an appointment for an oil change,5,67,val
are you a cat person,9,124,train
set a reminder for my doctors appointment,4,50,train
reset to factory default,10,149,train
put a hold on my account,1,1,train
i want to to schedule maintenance on my vehicle,5,67,train
see if all the doors are locked,4,60,val
translate hello to english,6,78,train
please play my list of reminders,4,49,test
when is the next day i get paid,8,111,train
which timezone is denver located,6,81,test
set the volume to 4 please,10,140,train
turn the furnace on please,4,60,train
this credit card's apr is what,2,23,train
does my capital one credit card have international transaction fees,2,30,val
help me schedule a meeting,8,118,train
how long is pork good in the fridge,3,31,train
make 1234 the pin on my savings account,1,3,test
there is an unauthorized transaction on my bank of america checking,1,15,train
"my credit card's apr, please",2,23,train
thank you for your time and trying to help,9,130,test
can you please repeat that,10,143,test
submit full payment to chase for my visa bill,1,5,val
does iron skillet at the truck stop trake reservations,3,45,train
i need you to freeze my account,1,1,train
i must pay verizon what minimum amount on my bill,1,8,test
i'm lacking vitamins so order me more,4,57,train
what timezone do ho chi minh use,6,81,val
i want you to speak in french,10,142,train
tell me the pin number for my checking account,1,3,test
what time is it in buenos aires,7,103,train
what's my name huh,10,137,train
what name do you use to talk about me,10,137,train
can you tell me how to clean a fish tank,0,0,oos_test
find an article on celebrities who made it out of poverty,0,0,oos_test
how much over will overdraft protection cover,0,0,oos_test
i have to get going,9,129,train
where can i locate the routing number for the bank i bank with,1,2,val
what are some things you like to do,9,125,train
i would like to transfer $100 from my checking to saving account,1,10,test
have an alarm wake me at 10:30 am,7,92,train
when is my meeting with jack for,8,110,test
do you know my health benefits,8,109,val
how much damage did the last earthquake here do,0,0,oos_test
when was i paid most recently,8,111,val
how safe is it to travel to mongolia (how safe is mongolia),6,84,train
how much do i have to pay for my cable bill,1,9,train
could you help me find the interest on my chase account,1,7,train
lost luggage on flight america airlines in o'hare,6,86,train
are you a person in real life or programmed ai,9,133,train
i need my account frozen,1,1,train
what name do you have saved for me,10,137,train
i need gas so what should i get,5,73,val
does visa charge transaction fees in the uk,2,30,train
help me book a rental car in green bay,6,90,train
give me some options on what to cook for dinner,3,40,train
what steps can i take to make sure my credit score doesn't go down,2,19,train
why is there a block on my account,1,6,train
heard any good jokes lately,9,132,train
order dog food from walmart,4,57,val
is travel to monterrey safe now,6,84,test
whats lifes meaning exactly,9,122,train
tell carl that he sucks,7,105,val
i wanna know the next holiday,8,107,test
schedule a gas bill payment,1,5,train
please inform me of the types of subjects are you familiar with,9,135,train
i do not believe that that is correct,10,141,train
"tell me how to spent ""frightened",7,102,test
with my phone please pair,10,146,train
i need a block put on my chase account right away,1,1,train
it was good chatting,9,129,train
"ai, please help me find my phone",7,94,train
what's the best dog food to feed my puppy,0,0,oos_val
please find the current balance on my con edison bill,1,9,train
"throw eggs on my shopping list, please",4,59,test
can you call an uber for 2 to go to proof on main,5,64,train
i need to apply for a visa card,2,29,train
add mop bathroom to my to do list,4,48,train
make your speed a bit slower,10,136,train
how long do i need to cook roast for,3,44,val
is $30 usd more or less in canada,6,82,test
transfer $500 from my checking to my savings,1,10,train
does ireland have any travel alerts i should be aware of,6,84,train
volume to whisper voice,10,138,train
i have a lot of points saved up from my credit card rewards but don't know how to redeem them,2,24,train
where do i go for my credit score,2,28,test
how long does it take for grass seed to grow on my lawn,0,0,oos_test
change the speed of your voice to slower,10,136,train
how high is the apr on my credit card,2,23,test
"can you spell ""fragile"" for me",7,102,test
i need to know when my oil was last changed,5,72,train
i must apply for a new credit card,2,29,train
can you order me some nacho chips,4,57,test
tell me about the oscars,0,0,oos_test
i need to report some fraudulent card activity,1,15,train
where you from the usa,9,128,train
purchase a computer for me,4,57,train
i want to hear beatles music,4,47,train
how much data does my phone have left this month,0,0,oos_test
later gater,9,129,train
can you look at what the oldest age is someone can enlist in the army,0,0,oos_test
can i use salt instead of baking soda,3,43,train
i want to know the status of my day off request,8,106,train
i am not understanding the language you are responding in; switch it for me,10,142,test
tell me what i can find on the shopping list,4,54,train
i need a recent transaction looked into,1,14,train
what potential hazards are there for going to spain,6,84,train
i have to know what plug that country uses,6,76,train
which types of vaccinations are required when leaving the united states,6,85,train
find auto store that tests dead car batteries for free,5,75,train
i need a list of ingredients required to make lamb stew,3,34,val
what were you supposed to remind me of,4,49,test
please alert me when my iphone battery falls below 30%,0,0,oos_test
i'm afraid i don't know how to answer that,10,150,test
what's my health insurance plan,8,109,test
i want to update you name,10,148,train
i need to change my name to something else for you to call me,10,147,train
how is my order doing right now,4,52,test
please notify me of my credit rating,2,28,train
next payday please,8,111,train
any travel alerts for canada,6,84,train
how much air pressure is in my tires,5,66,val
i need a flight from boston to miami for under 300 dollars,6,87,test
is anything on my calendar for june 22nd,4,55,test
how much have i paid in medical expenses recently,1,13,train
what do you get when you roll a dice with five sides,7,104,train
i need a table for 3 at 5pm at andrea's steakhouse under wheeler,3,39,val
please remove an event from this calendar,4,51,train
can you translate where's the bar into irish for me,6,78,train
"i need meeting rooms between 9:00 am and 11:00 am, are there any available",8,118,train
tell me my credit score please,2,28,train
how old are you today,9,134,train
i would like to order additional checkbooks to me mailed to my home address,1,11,train
i need to know my salary,8,113,train
i'd like to know the last time my car got looked at,5,72,test
how long will it take me to get to red robin in glendale,5,70,train
can you give me the most current market news,0,0,oos_test
i need you to block my mutualone account now,1,1,train
reserve a table at tropicana for 5 people under the name martins for 8pm,3,39,test
i want to know the status of my vacation request,8,106,test
i am thinking of switching to a different insurance plan,8,108,train
"hey there, how are you today",9,131,test
i'd like to start calling you jake,10,148,test
go ahead and give me the tire pressure of my vehicle,5,66,test
how well is the gas mileage while i'm in the city,5,69,val
can you help me find my package,4,52,train
i need to get some assistance figuring out how to rollover my 401k,8,114,train
organize my photos by date please,0,0,oos_test
is it okay to eat chicken that i put in the fridge on monday,3,31,train
is milk one of my shopping list items,4,54,test
is there a travel alert for north korea,6,84,train
could you tell me what is the apr for the credit card,2,23,train
how many dollars have i spent on coffee this month,1,13,test
"check the apr on my disney visa, please",2,23,train
is it okay if i change your name to mud,10,148,train
how soon till i need to change my tires,5,74,test
change name for me,10,147,test
can you translate bowl into russian for me,6,78,train
add a song to my rock playlist,4,53,train
do i have a ways to go or am i close to getting to penn station,5,70,test
use the female voice,10,144,test
what is the expiration date of the milk,3,31,train
can you figure out how many vacation days i have left,8,115,train
can you help me pick some fun things to do in london during my trip,6,83,test
provide me with my credit score,2,28,train
speed up your rate of speech,10,136,val
let me know what the point of life is,9,122,test
who are the nominees for best picture this year,0,0,oos_test
do i have cheese on my shopping list if not please add it,4,59,val
skip to next track,4,56,test
i am wanting you to book me a flight from houston to miami on united airlines,6,87,train
are the ratings for yardhouse good,3,38,val
"""which is the best way to improve the credit score",2,19,test
how do vietnameses people say hello,6,78,train
the bank needs to know that i am traveling soon,6,77,train
find out what supplies i am missing and will need on my upcoming camping trip,0,0,oos_test
i would like to apply for a bank of america travel rewards credit card,2,29,train
i need a reminder to order cookies,4,50,val
give me some awesome travel destinations,6,83,train
can you play music,4,47,train
what interest rate am i paying,1,7,train
how do i get direct deposit for my paycheck,8,119,train
i ran out of checks and need more ordered,1,11,val
i am curious to know if you are a bot,9,133,val
i need to put in a payment towards my phone bill,1,5,test
can you find my phone,7,94,test
help me locate my credit score,2,28,train
where is the closest bathroom to the statue of liberty,5,71,test
thanks for that,9,130,train
what ingredients do i need to bake a cake,3,34,train
give me information on grub burger reservations,3,45,val
give me my current location,5,61,train
what are some things i can do on the way to work,0,0,oos_test
i didn't catch that,10,143,test
i want to only use the whisper sound,10,138,test
whisper mode must be left,10,138,test
please assist me in linking my chase account to direct deposit for my paycheck,8,119,val
send 100 dollars between bank of the west and bank of america acccounts,1,10,train
what is the best way to clean ceiling fans,0,0,oos_test
i want to change my pin number for my account,1,3,train
can you see if i can get a higher limit on my discovery card,2,22,train
what is the process to get some more checkbooks mailed to me,1,11,train
what is the process to schedule a meeting,8,118,val
search all movies created by disney in the 1980's,0,0,oos_test
my credit card was stolen; how long before a new one will arrive,2,16,train
i need to know what's on my shopping list,4,54,test
i need to call my friend,7,97,test
can i get a credit increase for my visa,2,22,train
what are some deals on amazon,0,0,oos_train
would i be safe if i traveled to japan,6,84,test
i need a quick recipe for spiral ham,3,37,train
what is the meaning of flange,7,99,train
tell me about the earthquake in california that happened this morning,0,0,oos_test
tell me what song this is,4,46,train
is it bad to not remember your dreams,0,0,oos_val
give my current location to robyn now,7,95,train
"i ran out of bread, order more",4,57,val
will i be able to schedule a reservation at 4 seasons in los angeles,3,45,val
are you able to play beatles songs,4,47,val
"hello, may i get your name",9,127,train
i need bananas on the list too,4,59,test
can you help me remember my pin to my boa account,1,3,train
"ai, how are you feeling",9,131,train
are you one of my employees,9,123,val
is my apr for my credit card available,2,23,train
when will the day off be,8,107,train
i need my routing number for my checking account at bb&t bank,1,2,test
i want you to let me know what names you have for me,10,137,train
i need a flight from nyc to paris with delta,6,87,train
do you remember where i left my cellphone,7,94,val
looks like someone made an unauthorized charge to nike on my account,1,15,train
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",3,39,train
look up my total number of days off so far,8,120,train
stop,10,145,train
tell me something interesting about bees,9,126,test
can i use baking soda instead of baking powder,3,43,train
"when my house burned down, so did my card",2,18,val
how long should i cook the asparagus for,3,44,train
can you give me a hand paying my water bill,1,5,train
is my vacation approved,8,106,test
where did i put my phone,7,94,train
i will call you zander,10,148,train
am i limited in carry ons for jet blue,6,89,train
define antagonist for me please,7,99,val
i'm finished with my to do list,4,48,val
tell me the lowest amount i can pay for my cable bill,1,8,train
would you please order me more checkbooks for my b of t account,1,11,train
ai can you tell me what things i may ask,9,135,train
what is the calorie look like in apples,3,35,train
book a flight to los angeles from las vegas on american airlines,6,87,test
i need an uber for 5 people to go to wendys,5,64,train
what hobbies do you like to do,9,125,test
does my great western bank account allow me to order more checkbooks,1,11,train
i want to hear something hilarious,9,132,val
can i improve my credit score,2,19,train
i made a fraudulent transaction,1,15,train
i want directions to phoenix,5,71,test
calculate how much i earn from my job,8,113,train
what is latin for i love you,6,78,train
please change my checking account pin to 1234,1,3,train
do you know any fun facts about the ocean,9,126,train
is there an uber going to downtown,5,64,val
please lookup my experion credit score,2,28,val
i'm struggling to remind myself the pin number to my card,1,3,test
lowest amount for cable bill,1,8,val
how many teaspoons in an ounce,7,100,val
slow down your voice,10,136,test
i'd like to have everything on my shopping list,4,57,train
i need you to book me a flight from ft lauderdale to houston on southwest,6,87,train
what's my bank balance,1,12,train
how high is my credit limit for my walmart card,2,25,train
"are you a computer, or are you a real person",9,133,train
how do i change inches to centimeters,7,100,train
find articles about the protests in parisi,0,0,oos_test
what's the most dominant scale in bluegrass,0,0,oos_train
i'm confused about the reason for my bank account being frozen,1,6,train
i need this song on my jam playlist,4,53,test
can you see if you can track where my luggage is,6,86,train
is there an international charge for using my card in france,2,30,test
do you know if my vacation was approved yet or not,8,106,train
where are there current travel alerts,6,84,train
please read my todo list,4,58,train
stop the connection with my phone,10,146,train
how would i raise my credit spending by 250 dollars,2,22,train
where were you processed,9,128,test
is my reservation set for john at bardenay,3,32,test
did my order ship,4,52,train
can you read the things on my shopping list,4,54,val
is mr ceo waiting me now,8,110,train
tell my all my reminders,4,49,train
can you forward my location to tom,7,95,train
what's the best way to pay my bill,1,5,train
how much are the international transaction fees for my chase card,2,30,train
how much is my water and sewer,1,9,test
how much for a samurai sword,0,0,oos_test
how many a's can you find in the word happiness,7,102,train
how much have i been spending on booze this month,1,13,test
i need to know this car's mpg,5,69,val
show me the total up to date points on the marriot rewards card,2,26,train
i need to know what the minimum payment is on my electric bill,1,8,train
change back to the factory set up,10,149,test
what do i earn from my job,8,113,train
how much is $30 usd in canadian dollar,6,82,test
will my 401k rollover,8,114,val
turn down your volume please,10,140,val
do i need an international visa to go to spain,6,80,train
please delete the reservation for roberts at village tavern,3,42,test
add god's plan by drake to my playlist,4,53,train
i'm having trouble scheduling a meeting,8,118,train
this is a true statement,10,139,val
i am curious about whether you have pets,9,124,train
roll a seven sided dice for me,7,104,train
the minumum to pay is what,1,8,train
check out my location up on the map,5,61,train
thanks for letting me know,9,130,train
i want to set direct deposit,8,119,train
the name you should call me is janet,10,147,train
give me a hand finding my mobile device,7,94,train
what's the method for requesting a vacation,8,116,val
compile a folder of paintings of sparta,0,0,oos_test
pto so far i have used is how much,8,120,test
hey hey!,9,131,train
credit limit change,2,22,train
who do i contact for a w2 form,8,117,val
i want the speaker to be louder please,10,140,train
book a flight from seattle to dallas-fort worth on april the 1st and returning on april 5th,6,87,train
do i need to get any shots before i travel to south africa,6,85,test
change the name that you call me,10,147,train
make me a map of all earthquake hotspots in the continental us,0,0,oos_test
i need to send a text,7,105,train
may i increase my credit limit by 500 dollars,2,22,test
help me figure out where this fraudulent transaction from google came from on my account,1,15,train
is it possible to read my to-do list again,4,58,test
i need to know my bank of america account routing number,1,2,train
when am i paid or how often,8,111,val
iterate the items on my todo list,4,58,train
your name from this point forward is george,10,148,train
my amex rewards; how do i get them,2,24,train
"to 350, set the oven",4,60,test
how do i find my credit score,2,28,train
will you roll a d20,7,104,train
what do my health benefits consist of,8,109,train
will my 401k rollover or not,8,114,train
i want to report my discover card as lost,2,20,train
do you have any animals,9,124,val
hi what's up,9,131,val
how much are taxes on this,8,112,train
can you reset your factory settings,10,149,test
talk to me about where im at right now,5,61,val
